Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2022-07-27,"The Library",5.4,,https://www.mountainproject.com/route/106461514/the-library,1,"Pennsylvania > South Central PA > Chickies Rock > Main Wall",2.2,-1,Lead,Onsight,"Trad, TR",,80,1400
2022-07-20,"Parabolic Corner (low variation)",5.9,,https://www.mountainproject.com/route/107386378/parabolic-corner-low-variation,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor South > k. Hydroman Sector",2.1,-1,Lead,Onsight,"Sport, TR",,50,2400
2022-07-20,"Le Eaglet",5.7,,https://www.mountainproject.com/route/107375211/le-eaglet,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor South > k. Hydroman Sector",2.5,-1,Lead,Onsight,Sport,,50,1800
2022-07-20,"Mental As Anything",5.9+,,https://www.mountainproject.com/route/107375223/mental-as-anything,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor South > k. Hydroman Sector",3.1,-1,Lead,Onsight,Sport,,,2500
2022-07-20,"Cut to the Chase",5.8,,https://www.mountainproject.com/route/122548802/cut-to-the-chase,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor South > h. The Righteous and the Wicked",2.0,-1,TR,,Sport,,60,2100
2022-07-20,Locomotion,5.10a,,https://www.mountainproject.com/route/107379180/locomotion,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor South > g. Autumn Arch Sector",3.0,3,Lead,Redpoint,Sport,,,2600
2022-07-20,"Autumn Arch",5.10b,"Fell once, cool route!",https://www.mountainproject.com/route/107379077/autumn-arch,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor South > g. Autumn Arch Sector",3.5,-1,Lead,Fell/Hung,Sport,,85,2900
2022-07-16,Rhododendron,5.6,,https://www.mountainproject.com/route/105810485/rhododendron,1,"New York > The Gunks > The Trapps > a2. The Uberfall - right",2.7,-1,Lead,,Trad,,70,1600
2022-07-16,"Double Chin",5.5,,https://www.mountainproject.com/route/106133896/double-chin,1,"New York > The Gunks > The Trapps > a1. The Uberfall - left",2.6,-1,Lead,Onsight,Trad,,80,1500
2022-07-16,"Oscar and Charlie",5.7,,https://www.mountainproject.com/route/106295786/oscar-and-charlie,1,"New York > The Gunks > The Trapps > d. Strictly - The Ceiling",2.9,-1,Lead,Onsight,Trad,,180,1800
2022-07-15,"The Ceiling",5.6,,https://www.mountainproject.com/route/105799687/the-ceiling,2,"New York > The Gunks > The Trapps > d. Strictly - The Ceiling",3.5,-1,Lead,Onsight,Trad,,275,1600
2022-07-15,Laurel,5.7,,https://www.mountainproject.com/route/105810464/laurel,1,"New York > The Gunks > The Trapps > a2. The Uberfall - right",2.5,-1,Lead,,Trad,,50,1800
2022-07-15,"Ken's Crack",5.7+,,https://www.mountainproject.com/route/105799779/kens-crack,1,"New York > The Gunks > The Trapps > a2. The Uberfall - right",3.0,-1,Lead,Onsight,Trad,,50,1900
2022-07-04,Munginella,5.6,,https://www.mountainproject.com/route/105867008/munginella,3,"California > Yosemite National Park > Yosemite Valley > Valley North Side > E. Yosemite Falls Area > Five Open Books > First Tier",2.9,-1,Lead,Onsight,Trad,,300,1600
2022-07-04,"Super Hands (aka Ranger Crack)",5.8,,https://www.mountainproject.com/route/105914577/super-hands-aka-ranger-crack,1,"California > Yosemite National Park > Yosemite Valley > Valley North Side > E. Yosemite Falls Area > Lower Falls Amphitheater",3.3,-1,Lead,Onsight,Trad,,70,2100
2022-07-04,"The Boltway",5.8,,https://www.mountainproject.com/route/106015648/the-boltway,2,"California > Yosemite National Park > Tuolumne Meadows > Stately Pleasure Dome",2.7,-1,Follow,,"Trad, Alpine",,300,2100
2022-07-04,"Hermaphrodite Flake",5.7,"Into Boltway",https://www.mountainproject.com/route/105836052/hermaphrodite-flake,4,"California > Yosemite National Park > Tuolumne Meadows > Stately Pleasure Dome",2.9,-1,Lead,Onsight,"Trad, Alpine",,400,1800
2022-06-20,"Moon Bears",5.9," ",https://www.mountainproject.com/route/113523705/moon-bears,9,"International > Europe > Italy > Arco and Surrounding Area > Piccolo Dain (Monte Garzole) > Parete della Centrale",3.0,-1,Lead,,Sport,,820,2400
2022-06-19,"Ferrata Brigata Tridentina",4th,,https://www.mountainproject.com/route/111282787/ferrata-brigata-tridentina,1,"International > Europe > Italy > Dolomites > Sella Group > Passo Gardena area (Grodner Joch) down to Corvara > Via Ferrata",4.0,-1,,,"TR, Alpine",,1600,900
2022-06-02,"West Crack",5.9,,https://www.mountainproject.com/route/105859422/west-crack,4,"California > Yosemite National Park > Tuolumne Meadows > Daff Area > Daff Dome > West Face",3.6,-1,Lead,,Trad,,430,2400
2022-06-01,"Braille Book",5.8+,"Oh boy ",https://www.mountainproject.com/route/105833552/braille-book,6,"California > Yosemite National Park > Yosemite Valley > Valley South Side > P. Cathedral Area > 5. Higher Cathedral Rock",3.5,-1,Lead,,Trad,,700,2200
2022-05-30,"East Buttress","5.10c A0",Solid!,https://www.mountainproject.com/route/105915125/east-buttress,10,"California > Yosemite National Park > Yosemite Valley > Valley South Side > P. Cathedral Area > 6. Middle Cathedral Rock",3.6,-1,Lead,Onsight,"Trad, Aid",,1100,3200
2022-05-29,"Positively 4th Street",5.9,,https://www.mountainproject.com/route/105986641/positively-4th-street,1,"California > Yosemite National Park > Yosemite Valley > Valley North Side > D. Camp 4 Area > 2. Lower Brother",3.2,-1,Lead,Onsight,Trad,,150,2400
2022-05-29,"Absolutely Free, Center",5.9,"Hung once on P2. Sent P4. Super cool route!",https://www.mountainproject.com/route/106451171/absolutely-free-center,4,"California > Yosemite National Park > Yosemite Valley > Valley North Side > D. Camp 4 Area > 2. Lower Brother",3.4,-1,Lead,Fell/Hung,Trad,,700,2400
2022-05-27,"Corrugation Corner",5.7,"Wow. ",https://www.mountainproject.com/route/105872293/corrugation-corner,3,"California > Lake Tahoe > Highway 50 Corridor > Lover's Leap > Main Formation > Main Wall",3.9,-1,Lead,Onsight,Trad,,300,1800
2022-05-23,"Bear's Reach",5.7,,https://www.mountainproject.com/route/105798294/bears-reach,3,"California > Lake Tahoe > Highway 50 Corridor > Lover's Leap > Main Formation > East Wall",3.4,-1,Lead,Onsight,Trad,,400,1800
2022-05-21,"Thinking About It",5.9,,https://www.mountainproject.com/route/117102702/thinking-about-it,1,"Nevada > Western Nevada > Lake Tahoe Area > Spooner Crag > Main Rock",2.3,-1,Lead,Fell/Hung,Sport,,50,2400
2022-05-21,"Maxwell's Hammer",5.8,,https://www.mountainproject.com/route/106720772/maxwells-hammer,1,"Nevada > Western Nevada > Lake Tahoe Area > Spooner Crag > Main Rock",2.2,-1,Lead,Onsight,Trad,,50,2100
2022-05-21,"Night Cap",5.8,,https://www.mountainproject.com/route/106762052/night-cap,2,"Nevada > Western Nevada > Lake Tahoe Area > Spooner Crag > Main Rock",2.4,-1,Lead,Onsight,Sport,,125,2100
2022-05-19,"Central Pillar of Frenzy",5.9,"Oh man! Was not feeling it today. And hot! Fell/hung on like every pitch. Maybe try a cooler day next time with better shoes ",https://www.mountainproject.com/route/105862930/central-pillar-of-frenzy,5,"California > Yosemite National Park > Yosemite Valley > Valley South Side > P. Cathedral Area > 6. Middle Cathedral Rock",3.8,-1,Lead,Fell/Hung,Trad,,500,2400
2022-05-16,Commitment,5.9,,https://www.mountainproject.com/route/105867013/commitment,3,"California > Yosemite National Park > Yosemite Valley > Valley North Side > E. Yosemite Falls Area > Five Open Books > First Tier",3.4,-1,Lead,,Trad,,320,2400
2022-05-12,"Monday Morning Slab, Harry Daley Route",5.8,"Pretty sustained, tricky climbing! Fun as a single pitch!",https://www.mountainproject.com/route/105939242/monday-morning-slab-harry-daley-route,1,"California > Yosemite National Park > Yosemite Valley > Valley South Side > I. Glacier Point Apron > 5. Monday Morning Slab",3.4,-1,Lead,Onsight,Trad,,210,2100
2022-05-12,"The Grack - Center",5.6,,https://www.mountainproject.com/route/105862623/the-grack-center,2,"California > Yosemite National Park > Yosemite Valley > Valley South Side > I. Glacier Point Apron > 3. The Grack Area",3.4,-1,Lead,Onsight,Trad,,500,1600
2022-05-11,"Royal Arches (5.10- or 5.7 A0)","5.10a/b A0","Car to car in a bit less than 12 hours. Simuled a handful of pitches. Linking P5,6,7 on lead was super fun",https://www.mountainproject.com/route/105862881/royal-arches-510-or-57-a0,15,"California > Yosemite National Park > Yosemite Valley > Valley North Side > H. Royal Arches Area > Royal Arches > Central Royal Arches",3.4,-1,Lead,Onsight,"Trad, Aid",,2000,2800
2022-05-08,"Snake Dike","5.7 R","Only party on the wall on a Sunday. Probably because it was freaking cold and windy and precip was forecast for the PM. Conditions ended up being fine though :)",https://www.mountainproject.com/route/105836362/snake-dike,8,"California > Yosemite National Park > Yosemite Valley > Valley South Side > D. Half Dome > 3. Southwest Face",3.6,-1,Lead,Onsight,Trad,,2000,1800
2022-05-06,"The Nutcracker Suite (aka Nutcracker)",5.8,"Fell off P4 bulge! Placed gear in the only solid hand jam spot",https://www.mountainproject.com/route/105833505/the-nutcracker-suite-aka-nutcracker,5,"California > Yosemite National Park > Yosemite Valley > Valley North Side > C. El Cap Picnic Area (Eagle Creek) > 5. Manure Pile Buttress (aka Ranger Rock)",3.6,-1,Lead,Fell/Hung,Trad,,500,2100
2022-05-04,"New Deviations",5.9,"Hung a few times on the lower offwidth, onsighted the upper knobs",https://www.mountainproject.com/route/106807133/new-deviations,1,"California > Yosemite National Park > Yosemite Valley > Lower Merced River Canyon > Ap. New Diversions",3.5,-1,Lead,Fell/Hung,Trad,,150,2400
2022-05-04,"Chicken Pie",5.9,"Did P1. Great!",https://www.mountainproject.com/route/106655892/chicken-pie,1,"California > Yosemite National Park > Yosemite Valley > Lower Merced River Canyon > Ap. New Diversions",3.1,-1,Lead,Onsight,Trad,,200,2400
2022-05-03,"Super Slide",5.9,Fun!,https://www.mountainproject.com/route/105915124/super-slide,5,"California > Yosemite National Park > Yosemite Valley > Valley North Side > H. Royal Arches Area > Royal Arches > Western Royal Arches",3.2,-1,Lead,Onsight,Trad,,500,2400
2022-05-02,Commitment,5.9,"Awesome! Did 5.9 finish. ",https://www.mountainproject.com/route/105867013/commitment,3,"California > Yosemite National Park > Yosemite Valley > Valley North Side > E. Yosemite Falls Area > Five Open Books > First Tier",3.4,-1,Lead,Onsight,Trad,,320,2400
2022-05-02,Selaginella,5.8,"Oh man. Definitely learned a bit about offwidth on this one. Took a decent fall during offwidth on P1 - was next to piece but belayer had way too much slack lmao. Rope drag on P3 traverse added some spice. ",https://www.mountainproject.com/route/106097044/selaginella,4,"California > Yosemite National Park > Yosemite Valley > Valley North Side > E. Yosemite Falls Area > Five Open Books > Second Tier",3.1,-1,Lead,Fell/Hung,Trad,,560,2100
2022-05-01,Catchy,5.10d,"Felt really comfortable. Great stances the whole way. Slipped once near top but wasn’t a big deal. Maybe should go back for a redpoint. ",https://www.mountainproject.com/route/105939236/catchy,1,"California > Yosemite National Park > Yosemite Valley > Lower Merced River Canyon > Aj. Cookie Area > The Cookie Cliff",3.5,-1,TR,,Trad,,100,3500
2022-04-30,"After Six",5.7,,https://www.mountainproject.com/route/105862639/after-six,5,"California > Yosemite National Park > Yosemite Valley > Valley North Side > C. El Cap Picnic Area (Eagle Creek) > 5. Manure Pile Buttress (aka Ranger Rock)",2.9,-1,Lead,Onsight,Trad,,600,1800
2022-04-30,"After Seven",5.8,,https://www.mountainproject.com/route/105874735/after-seven,1,"California > Yosemite National Park > Yosemite Valley > Valley North Side > C. El Cap Picnic Area (Eagle Creek) > 5. Manure Pile Buttress (aka Ranger Rock)",3.1,-1,Lead,Onsight,Trad,,115,2100
2022-04-29,"Church Bowl Tree",5.10-,"Fell a few times at upper crux. Overall felt like a good lead. ",https://www.mountainproject.com/route/105915141/church-bowl-tree,1,"California > Yosemite National Park > Yosemite Valley > Valley North Side > G. Church Bowl",2.7,-1,Lead,Fell/Hung,Trad,,60,2700
2022-04-29,"Bishops Terrace",5.8,"First substantial lead in The Valley. Felt super solid! ",https://www.mountainproject.com/route/105872317/bishops-terrace,1,"California > Yosemite National Park > Yosemite Valley > Valley North Side > G. Church Bowl",3.6,-1,Lead,Onsight,Trad,,150,2100
2022-04-28,"Penelope's Problem",5.7,"This was fun",https://www.mountainproject.com/route/105996559/penelopes-problem,1,"California > Yosemite National Park > Yosemite Valley > Valley North Side > E. Yosemite Falls Area > A. Swan Slab",2.4,-1,Lead,Onsight,Trad,,80,1800
2022-04-28,"Swan Slab Gully",5.6,"First route in Yosemite! Only did P1. Some thoughtful moves between scrambly bits",https://www.mountainproject.com/route/105889783/swan-slab-gully,1,"California > Yosemite National Park > Yosemite Valley > Valley North Side > E. Yosemite Falls Area > A. Swan Slab",2.4,-1,Lead,Onsight,Trad,,310,1600
2022-04-26,"The Last Panty",5.7,,https://www.mountainproject.com/route/106931187/the-last-panty,1,"Nevada > Southern Nevada > Red Rocks > 03-First Pullout (Calico I) > Panty Wall",2.1,-1,Lead,,Sport,,45,1800
2022-04-26,"Cover My Buttress",5.5,,https://www.mountainproject.com/route/105937169/cover-my-buttress,1,"Nevada > Southern Nevada > Red Rocks > 03-First Pullout (Calico I) > Panty Wall",2.2,-1,Lead,Onsight,"Trad, TR",,,1500
2022-04-23,"Espresso Crack",5.11+,"Succeeded via the magic of top rope ",https://www.mountainproject.com/route/105897243/espresso-crack,1,"California > Sierra Eastside > Bishop Area > Little Egypt > Frontier Left",3.9,-1,TR,,Trad,,60,5300
2022-04-23,Arabesque,5.9,,https://www.mountainproject.com/route/107153835/arabesque,1,"California > Sierra Eastside > Bishop Area > Little Egypt > Frontier Right",1.7,-1,Follow,,Trad,,80,2400
2022-04-22,"Downtown Man",5.7,,https://www.mountainproject.com/route/110026325/downtown-man,1,"California > Sierra Eastside > Bishop Area > Pine Creek Canyon > Uptown Rock > Uptown Rock - Upper Tier",3.1,-1,Follow,,Trad,,210,1800
2022-04-22,"Quasi Quartz",5.8,,https://www.mountainproject.com/route/113218813/quasi-quartz,1,"California > Sierra Eastside > Bishop Area > Pine Creek Canyon > Uptown Rock > Uptown Rock - Lower Tier (aka Delta Wall)",2.6,-1,Lead,Onsight,Sport,,235,2100
2022-04-21,"Quail Crack",5.10a,,https://www.mountainproject.com/route/105900118/quail-crack,1,"California > Sierra Eastside > Bishop Area > Owens River Gorge > Upper Gorge > Lower Elbow Room",2.8,-1,Lead,Onsight,Sport,,50,2600
2022-04-21,"Quail Trail",5.10b,,https://www.mountainproject.com/route/105900107/quail-trail,1,"California > Sierra Eastside > Bishop Area > Owens River Gorge > Upper Gorge > Lower Elbow Room",2.9,-1,Lead,Onsight,Sport,,150,2900
2022-04-21,"Slip 'n Slide",5.9,,https://www.mountainproject.com/route/105900092/slip-n-slide,1,"California > Sierra Eastside > Bishop Area > Owens River Gorge > Upper Gorge > Lower Elbow Room",3.6,-1,Lead,Onsight,Sport,,115,2400
2022-04-20,"Flamed Variation",5.10b,Fun!,https://www.mountainproject.com/route/117939805/flamed-variation,1,"California > Sierra Eastside > Bishop Area > Pine Creek Canyon > Scheelite Canyon / Pratt's Crack Gully > Mustache Wall",2.6,-1,Lead,Redpoint,Sport,,85,2900
2022-04-20,"Blast Furnace",5.9,,https://www.mountainproject.com/route/109405817/blast-furnace,1,"California > Sierra Eastside > Bishop Area > Pine Creek Canyon > Scheelite Canyon / Pratt's Crack Gully > Mustache Wall",2.0,-1,Lead,Onsight,Sport,,80,2400
2022-04-20,[Redacted],5.8,,https://www.mountainproject.com/route/111137775/redacted,1,"California > Sierra Eastside > Bishop Area > Pine Creek Canyon > Scheelite Canyon / Pratt's Crack Gully > Mustache Wall",2.4,-1,Lead,Redpoint,Sport,,83,2100
2022-04-20,Tiddlywinks,5.8,,https://www.mountainproject.com/route/120553207/tiddlywinks,1,"California > Sierra Eastside > Bishop Area > Pine Creek Canyon > Scheelite Canyon / Pratt's Crack Gully > Mustache Wall",2.0,-1,Lead,Redpoint,Sport,,80,2100
2022-04-20,"Becky Route",5.9+,,https://www.mountainproject.com/route/106808844/becky-route,1,"California > Sierra Eastside > Bishop Area > Pine Creek Canyon > Scheelite Canyon / Pratt's Crack Gully > Mustache Wall",2.9,-1,Lead,Redpoint,Sport,,100,2500
2022-04-20,B-Gizzle,5.10d,"Fell once at 4th bolt. Hung at 5th bolt. Overall felt very efficient and I’m proud of this lead",https://www.mountainproject.com/route/106831583/b-gizzle,1,"California > Sierra Eastside > Bishop Area > Pine Creek Canyon > Scheelite Canyon / Pratt's Crack Gully > Mustache Wall",2.6,-1,Lead,Fell/Hung,Sport,,60,3500
